序号,医疗机构名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
136,烟台市芝罘区幸福街道新世界社区卫生服务站,121.3596157097146,37.569308985733734,1,70,医疗,bd09,,删除
137,烟台市芝罘区幸福街道永和社区卫生服务站,121.36615878738819,37.57966754798793,1,70,医疗,bd09,,删除
138,烟台市芝罘区幸福街道社区卫生服务中心,121.37953698185663,37.53841100377672,1,70,医疗,bd09,,删除
139,烟台市芝罘区幸福街道祥发社区卫生服务站,121.36121145962252,37.58700595855632,1,70,医疗,bd09,,删除
140,烟台市芝罘区幸福街道福兴社区卫生服务站,121.36032393377869,37.57030234041302,1,70,医疗,bd09,,删除
141,烟台市芝罘区幸福街道福盈社区卫生服务站,121.35561717222859,37.581480020074615,1,70,医疗,bd09,,删除
142,烟台市芝罘区毓璜顶街道大海阳社区卫生服务站,121.38511375229312,37.544551247907,1,70,医疗,bd09,,删除
143,烟台市芝罘区毓璜顶街道文化苑社区卫生服务站,121.38863870311428,37.54145779831813,1,70,医疗,bd09,,删除
144,烟台市芝罘区毓璜顶街道毓璜顶东社区卫生服务站,121.39766820060893,37.540147589043755,1,70,医疗,bd09,,删除
145,烟台市芝罘区毓璜顶街道毓璜顶西社区卫生服务站,121.38544504736521,37.544029792623505,1,70,医疗,bd09,,删除
146,烟台市芝罘区毓璜顶街道海港社区卫生服务站,121.39471484158378,37.54785306886992,1,70,医疗,bd09,,删除
147,烟台市芝罘区毓璜顶街道翡翠社区卫生服务站,121.38987135793506,37.530865869861074,1,70,医疗,bd09,,删除
148,烟台市芝罘区毓璜顶街道黄山北社区卫生服务站,121.3852608049051,37.541673899069295,1,70,医疗,bd09,,删除
149,烟台市芝罘区毓璜顶街道黄山南社区卫生服务站,121.37094576762031,37.566013772705574,1,70,医疗,bd09,,删除
150,烟台市芝罘区白石街道南开社区卫生服务站,121.37055949625102,37.543540808716585,1,70,医疗,bd09,,删除
151,烟台市芝罘区白石街道新海阳社区卫生服务站,121.37953698185663,37.53841100377672,1,70,医疗,bd09,,删除
152,烟台市芝罘区白石街道新西社区卫生服务站,121.37717380955152,37.54036169067234,1,70,医疗,bd09,,删除
153,烟台市芝罘区白石街道白春社区卫生服务站,121.37280543968706,37.54472570928555,1,70,医疗,bd09,,删除
154,烟台市芝罘区白石街道社区卫生服务中心,121.37953698185663,37.53841100377672,1,70,医疗,bd09,,删除
155,烟台市芝罘区白石街道青华社区卫生服务站,121.37976739721994,37.541772256534,1,70,医疗,bd09,,删除
156,烟台市芝罘区通伸街道前进路卫生服务站,121.37094576762031,37.566013772705574,1,70,医疗,bd09,,删除
157,烟台市芝罘区通伸街道社区卫生服务中心,121.37953698185663,37.53841100377672,1,70,医疗,bd09,,删除
158,烟台市芝罘区通伸街道西炮台社区卫生服务站,121.37239976491875,37.55491743026227,1,70,医疗,bd09,,删除
159,烟台市芝罘区通伸街道顺河社区卫生服务站,121.37576984786999,37.55517540220863,1,70,医疗,bd09,,删除
160,烟台市芝罘区黄务街道三和社区卫生服务站,121.35679071854683,37.475710764274744,1,70,医疗,bd09,,删除
161,烟台市芝罘区黄务街道刘家社区卫生服务站,121.34327894604904,37.49453117273483,1,70,医疗,bd09,,删除
162,烟台市芝罘区黄务街道朱家疃社区卫生服务站,121.36408181521855,37.45442062674095,1,70,医疗,bd09,,删除
163,烟台市芝罘区黄务街道社区卫生服务中心,121.35259617079853,37.47434970174846,0,25,乡镇,bd09,,删除
164,烟台市芝罘区黄务街道蓁山社区卫生服务站,121.35772558509107,37.50885790945028,1,70,医疗,bd09,,删除
165,烟台市莱山区莱山街道社区卫生服务中心,121.38729627536016,37.39967215540761,1,70,医疗,bd09,,删除
166,烟台市莱山区解甲庄街道社区卫生服务中心,121.42319427031936,37.41893424978346,1,70,医疗,bd09,,删除
167,烟台市莱山区院格庄街道社区卫生服务中心,121.38046106873475,37.31179018824277,1,70,医疗,bd09,,删除
168,烟台市莱山区黄海路街道社区卫生服务中心,121.45237195192786,37.49499063268378,1,70,医疗,bd09,,删除
169,烟台市莱山经济开发区社区卫生服务中心,121.45237195192786,37.49499063268378,1,70,医疗,bd09,,删除
170,烟台市莱阳市万第中心卫生院,120.87163253125968,36.884671047114374,1,70,医疗,bd09,,删除
171,烟台市莱阳市冯格庄街道社区卫生服务中心,120.63724890336,36.992519653713025,1,70,医疗,bd09,,删除
172,烟台市莱阳市古柳街道社区卫生服务中心,120.71434013476804,36.9418049216938,1,70,医疗,bd09,,删除
173,烟台市莱阳市吕格庄卫生院,120.65387546038306,36.87158120748642,0,25,乡镇,bd09,,删除
174,烟台市莱阳市团旺中心卫生院,120.6495468854527,36.76828112483253,1,70,医疗,bd09,,删除
175,烟台市莱阳市城厢街道社区卫生服务中心,120.72064444283707,36.98252472783837,1,70,医疗,bd09,,删除
176,烟台市莱阳市大夼卫生院,120.82640329798502,36.80742407249141,1,70,医疗,bd09,,删除
177,烟台市莱阳市姜疃中心卫生院,120.74429449132046,36.7861449459495,0,25,乡镇,bd09,,删除
178,烟台市莱阳市山前店卫生院,120.88281832130046,37.01828745196572,1,70,医疗,bd09,,删除
179,烟台市莱阳市柏林庄卫生院,120.68270100623165,37.00574007529241,1,70,医疗,bd09,,删除
180,烟台市莱阳市沐浴店中心卫生院,120.76651515607638,37.04248312358974,1,70,医疗,bd09,,删除
181,烟台市莱阳市河洛卫生院,120.72235221144209,37.0183618653419,1,70,医疗,bd09,,删除
182,烟台市莱阳市照旺庄卫生院,120.75703533802957,36.91992163115287,1,70,医疗,bd09,,删除
183,烟台市莱阳市穴坊中心卫生院,120.72875641108382,36.67296794396638,1,70,医疗,bd09,,删除
184,烟台市莱阳市羊郡镇羊郡卫生院,120.83424963729249,36.6750047056455,1,70,医疗,bd09,,删除
185,烟台市莱阳市谭格庄中心卫生院,120.60141837114462,37.127224482109305,0,25,乡镇,bd09,,删除
186,烟台市莱阳市高格庄卫生院,120.77679563382421,36.7254441199254,0,25,乡镇,bd09,,删除
187,烟台市莱阳市龙旺庄社区卫生服务中心,120.82425787493557,36.96463985137808,1,70,医疗,bd09,,删除
188,烟台经济技术开发区八角社区卫生服务中心,121.13252335814776,37.64377614409409,1,70,医疗,bd09,,删除
189,烟台经济技术开发区古现社区卫生服务中心,121.13756905036676,37.57962693826578,0,70,地产小区,bd09,,删除
190,烟台经济技术开发区大季家社区卫生服务中心,121.06661629983061,37.676497714327425,0,25,乡镇,bd09,,删除
191,烟台经济技术开发区潮水中心卫生院,120.97924423135252,37.696697591526735,1,70,医疗,bd09,,删除
192,烟台经济技术开发区福莱山社区卫生服务中心,121.26618403158841,37.572885986782744,1,70,医疗,bd09,,删除
193,烟台高新技术产业开发区医院,121.5356349913422,37.42599515474391,1,70,医疗,bd09,,删除
194,福山区经济开发区卫生院,121.03391169112884,37.48268386652809,1,70,医疗,bd09,,删除
195,福山区臧家庄中心卫生院,121.00060090586894,37.477066575351294,1,70,医疗,bd09,,删除
196,莱州市三山岛街道社区卫生服务中心,119.95818518360554,37.406829343736156,0,25,乡镇,bd09,,删除
197,莱州市土山镇卫生院,119.70330321210422,37.06157115234112,1,70,医疗,bd09,,删除
198,莱州市城市社区卫生服务中心,119.95246782835672,37.1864083522474,1,70,医疗,bd09,,删除
199,莱州市城港路街道社区卫生服务中心（莱州经济开发区医院）,119.94413379898789,37.292160205020956,1,70,医疗,bd09,,删除
200,莱州市夏邱中心卫生院,119.91669595549112,37.021137871172115,1,70,医疗,bd09,,删除
201,莱州市平里店中心卫生院,120.02954306992669,37.29882795313223,1,70,医疗,bd09,,删除
202,莱州市文峰路街道社区卫生服务中心,119.94185946909774,37.13337325817378,1,70,医疗,bd09,,删除
203,莱州市朱桥中心卫生院,120.02954306992669,37.29882795313223,1,70,医疗,bd09,,删除
204,莱州市朱桥镇梁郭卫生院,120.14630499977471,37.3069616636572,1,70,医疗,bd09,,删除
205,莱州市朱桥镇苗家卫生院,120.08735289220746,37.31655447081604,0,50,村庄,bd09,,删除
206,莱州市柞村镇卫生院,119.9534281169469,37.06638788267088,0,25,乡镇,bd09,,删除
207,莱州市沙河卫生院,119.775064707091,37.044208032990994,0,25,乡镇,bd09,,删除
208,莱州市沙河镇路旺卫生院,119.82985514489164,37.051471762795025,1,70,医疗,bd09,,删除
209,莱州市程郭镇卫生院,120.00195655686802,37.22911465353252,1,70,医疗,bd09,,删除
210,莱州市虎头崖镇东宋卫生院,119.83137956934209,37.15464883474763,0,50,村庄,bd09,,删除
211,莱州市虎头崖镇神堂卫生院,119.883508058425,37.139007731164426,1,70,医疗,bd09,,删除
212,莱州市金仓社区卫生服务中心,119.94185946909774,37.13337325817378,1,70,医疗,bd09,,删除
213,莱州市金城镇卫生院,120.11699302149249,37.422552984772075,1,70,医疗,bd09,,删除
214,莱州市驿道中心卫生院,120.17483383531335,37.23835676417097,1,70,医疗,bd09,,删除
215,蓬莱区刘家沟卫生院,120.89510255931886,37.77415555539315,1,70,医疗,bd09,,删除
216,蓬莱区北沟卫生院,120.62797264134176,37.77326114360047,0,25,乡镇,bd09,,删除
217,蓬莱区北沟镇徐家集卫生院,120.70953725452839,37.702157078134306,1,70,医疗,bd09,,删除
218,蓬莱区南王街道社区卫生服务中心,120.81387004967927,37.77062740366579,1,70,医疗,bd09,,删除
219,蓬莱区大柳行卫生院,121.05153437913192,37.6167371894896,1,70,医疗,bd09,,删除
220,蓬莱区大辛店中心卫生院（第二人民医院）,120.86336282056537,37.62887489537845,1,70,医疗,bd09,,删除
221,蓬莱区小门家卫生院,120.80978096299786,37.625260380689774,1,70,医疗,bd09,,删除
222,蓬莱区小门家镇于家庄卫生院,120.70605721898274,37.65285446842443,0,50,村庄,bd09,,删除
223,蓬莱区新港街道社区卫生服务中心,120.81387004967927,37.77062740366579,1,70,医疗,bd09,,删除
224,蓬莱区村里集中心卫生院,120.78779987632144,37.54887932783608,1,70,医疗,bd09,,删除
225,蓬莱区登州街道社区卫生服务中心,120.78251999585599,37.813362818015875,1,70,医疗,bd09,,删除
226,蓬莱区第二人民医院遇驾夼卫生所,120.86336282056537,37.62887489537845,1,70,医疗,bd09,,删除
227,蓬莱区第二人民医院龙山店卫生所,120.86336282056537,37.62887489537845,1,70,医疗,bd09,,删除
228,蓬莱市刘家沟卫生院,120.89510255931886,37.77415555539315,1,70,医疗,bd09,,删除
229,蓬莱市北沟卫生院,120.62797264134176,37.77326114360047,0,25,乡镇,bd09,,删除
230,蓬莱市北沟镇徐家集卫生院,120.70953725452839,37.702157078134306,1,70,医疗,bd09,,删除
231,蓬莱市南王街道社区卫生服务中心,120.8068066734543,37.77062754628707,0,25,乡镇,bd09,,删除
232,蓬莱市大柳行卫生院,121.05153437913192,37.6167371894896,1,70,医疗,bd09,,删除
233,蓬莱市大辛店中心卫生院（第二人民医院）,120.86336282056537,37.62887489537845,1,70,医疗,bd09,,删除
234,蓬莱市小门家卫生院,120.80978096299786,37.625260380689774,1,70,医疗,bd09,,删除
235,蓬莱市小门家镇于家庄卫生院,120.70605721898274,37.65285446842443,0,50,村庄,bd09,,删除
236,蓬莱市新港街道社区卫生服务中心,120.84632645656863,37.806042407046284,0,25,乡镇,bd09,,删除
237,蓬莱市村里集中心卫生院,120.78779987632144,37.54887932783608,1,70,医疗,bd09,,删除
238,蓬莱市登州街道社区卫生服务中心,120.78251999585599,37.813362818015875,1,70,医疗,bd09,,删除
239,蓬莱市第二人民医院遇驾夼卫生所,121.59236594870548,37.40293578923039,1,70,医疗,bd09,,删除
240,蓬莱市第二人民医院龙山店卫生所,121.59236594870548,37.40293578923039,1,70,医疗,bd09,,删除
241,长岛县北长山卫生院,120.72680601016056,37.9728648654469,1,70,医疗,bd09,,删除
242,长岛县北隍城卫生院,120.92257480791666,38.39625563513185,0,25,乡镇,bd09,,删除
243,长岛县南长山街道社区卫生服务中心,120.73758873051904,37.94152629258075,0,25,乡镇,bd09,,删除
244,长岛县大钦岛卫生院,120.82970088768162,38.31144278614716,0,25,乡镇,bd09,,删除
245,长岛县砣矶中心卫生院,120.7598360749486,38.17227557549623,0,25,乡镇,bd09,,删除
246,长岛县黑山卫生院,120.62379201732888,37.97327334030498,0,25,乡镇,bd09,,删除
247,龙口南山医院,120.49298795540996,37.60944397286876,1,70,医疗,bd09,,删除
248,龙口市七甲中心卫生院,120.61595025937952,37.498219942263404,1,70,医疗,bd09,,删除
249,龙口市下丁家镇卫生院,120.51382253476399,37.5532462766212,1,70,医疗,bd09,,删除
250,龙口市东江街道卫生院,120.5236321207635,37.63527588393597,0,25,乡镇,bd09,,删除
251,龙口市中心泊卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
252,龙口市兰高中心卫生院,120.58431184948755,37.651251673205124,1,70,医疗,bd09,,删除
253,龙口市前店卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
254,龙口市前栾卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
255,龙口市北马中心卫生院,120.40385655559058,37.623040983122145,1,70,医疗,bd09,,删除
256,龙口市后栾卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
257,龙口市城市社区卫生服务中心,120.51454450290235,37.65844562210531,1,70,医疗,bd09,,删除
258,龙口市徐福街道卫生院,120.49578833300677,37.68434809845478,0,25,乡镇,bd09,,删除
259,龙口市新嘉街道卫生院,120.49721681842873,37.663449324221936,0,25,乡镇,bd09,,删除
260,龙口市望马史家卫生室,120.41229685450124,37.60128912324956,0,50,村庄,bd09,,删除
261,龙口市石良中心卫生院,120.67240265220417,37.58082169841018,1,70,医疗,bd09,,删除
262,龙口市芦头卫生室,120.53769518335275,37.63304650001064,1,70,医疗,bd09,,删除
263,龙口市芦头镇卫生院,120.45989429059182,37.6219453001883,1,70,医疗,bd09,,删除
264,龙口市西梧桐卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
265,龙口市诸由观中心卫生院,120.59752089302846,37.69450690181485,1,70,医疗,bd09,,删除
266,龙口市迟家沟卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
267,龙口市韩家店卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
268,龙口市韩栾卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
269,龙口市高家河卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
270,龙口市麻家卫生室,120.45309411788129,37.600605747364035,1,70,医疗,bd09,,删除
271,龙口市黄山馆镇卫生院,120.28883940453458,37.553401978871605,1,70,医疗,bd09,,删除
272,龙口经济开发区医院,120.3389420350314,37.607261977839585,1,70,医疗,bd09,,删除