地区,出生人数,出生率,死亡人数,死亡率,自然增长人数,增长率,年平均人口
合计,57326,8.77,57323,8.77,3,0.00,6536587
市区,21554,11.06,14092,7.23,7462,3.83,1948607
芝罘区,7016,9.94,4226,5.99,2790,3.95,705959
福山区,3298,11.80,2037,7.29,1261,4.51,279506
牟平区,3199,7.32,4668,10.68,-1469,-3.36,436922
莱山区,3181,13.69,1491,6.41,1690,7.27,232444
开发区,4082,16.57,1351,5.49,2731,11.09,246296
高新区,702,19.87,208,5.89,494,13.99,35322
昆嵛区,76,6.25,111,9.13,-35,-2.88,12161
龙口市,5419,8.53,5420,8.53,-1,0.00,635582
莱阳市,7189,8.42,7900,9.25,-711,-0.83,854055
莱州市,6299,7.49,7905,9.40,-1606,-1.91,841274
蓬莱市,2914,6.89,3323,7.85,-409,-0.97,423221
招远市,5131,9.14,5728,10.20,-597,-1.06,561527
栖霞市,3998,6.77,6182,10.47,-2184,-3.70,590516
海阳市,4505,7.03,6456,10.08,-1951,-3.05,640440
长岛县,317,7.66,317,7.66,0,0.00,41366