行业,经济增加值（亿元）,年份,产业
农林牧渔业,3588.28,2010,第一产业
工业,18861.45,2010,第二产业
建筑业,2377.04,2010,第二产业
批发和零售业,4257.4,2010,第三产业
交通运输、仓储和邮政业,1971,2010,第三产业
住宿和餐饮业,670.97,2010,第三产业
金融业,1361.45,2010,第三产业
房地产业,1622.15,2010,第三产业
其他行业,4460.17,2010,第三产业
农林牧渔业,3973.85,2011,第一产业
工业,21275.89,2011,第二产业
建筑业,2741.22,2011,第二产业
批发和零售业,5400.19,2011,第三产业
交通运输、仓储和邮政业,2328.38,2011,第三产业
住宿和餐饮业,881.58,2011,第三产业
金融业,1640.41,2011,第三产业
房地产业,1838.14,2011,第三产业
其他行业,5282.19,2011,第三产业
农林牧渔业,4281.7,2012,第一产业
工业,22798.33,2012,第二产业
建筑业,2937.4,2012,第二产业
批发和零售业,6507.4,2012,第三产业
交通运输、仓储和邮政业,2516.19,2012,第三产业
住宿和餐饮业,1059.47,2012,第三产业
金融业,1936.11,2012,第三产业
房地产业,1984.49,2012,第三产业
其他行业,5992.15,2012,第三产业
农林牧渔业,4742.63,2013,第一产业
工业,24222.16,2013,第二产业
建筑业,3200.31,2013,第二产业
批发和零售业,7349.05,2013,第三产业
交通运输、仓储和邮政业,2602.91,2013,第三产业
住宿和餐饮业,1021.11,2013,第三产业
金融业,2184.25,2013,第三产业
房地产业,2462.93,2013,第三产业
其他行业,6898.98,2013,第三产业
农林牧渔业,4857.3,2014,第一产业
工业,20178.2,2014,第二产业
建筑业,3476.1,2014,第二产业
批发和零售业,6604.9,2014,第三产业
交通运输、仓储和邮政业,2285.1,2014,第三产业
住宿和餐饮业,681.1,2014,第三产业
金融业,2525.8,2014,第三产业
房地产业,2641.2,2014,第三产业
其他行业,7525.1,2014,第三产业
农林牧渔业,5110.8,2015,第一产业
工业,21156.5,2015,第二产业
建筑业,3731.6,2015,第二产业
批发和零售业,7306.6,2015,第三产业
交通运输、仓储和邮政业,2436.3,2015,第三产业
住宿和餐饮业,802.5,2015,第三产业
金融业,2890.8,2015,第三产业
房地产业,2828.8,2015,第三产业
其他行业,9024.9,2015,第三产业
农林牧渔业,5072.3,2016,第一产业
工业,21696,2016,第二产业
建筑业,3909.4,2016,第二产业
批发和零售业,7842.4,2016,第三产业
交通运输、仓储和邮政业,2664.9,2016,第三产业
住宿和餐饮业,868.2,2016,第三产业
金融业,3265.2,2016,第三产业
房地产业,3065.4,2016,第三产业
其他行业,10378.6,2016,第三产业
农林牧渔业,5114.7,2017,第一产业
工业,22515.8,2017,第二产业
建筑业,4441,2017,第二产业
批发和零售业,8057.1,2017,第三产业
交通运输、仓储和邮政业,3221.2,2017,第三产业
住宿和餐饮业,983.7,2017,第三产业
金融业,3570.6,2017,第三产业
房地产业,3469.4,2017,第三产业
其他行业,11638.7,2017,第三产业
农林牧渔业,5273.9,2018,第一产业
工业,22613,2018,第二产业
建筑业,5024.9,2018,第二产业
批发和零售业,8747.1,2018,第三产业
交通运输、仓储和邮政业,3384.9,2018,第三产业
住宿和餐饮业,1040.7,2018,第三产业
金融业,3871.2,2018,第三产业
房地产业,3963.1,2018,第三产业
其他行业,12730,2018,第三产业
农林牧渔业,5477.1,2019,第一产业
工业,22755.1,2019,第二产业
建筑业,5532.8,2019,第二产业
批发和零售业,9564.8,2019,第三产业
交通运输、仓储和邮政业,3636.1,2019,第三产业
住宿和餐饮业,1173.7,2019,第三产业
金融业,4177.4,2019,第三产业
房地产业,4073.7,2019,第三产业
其他行业,14149.9,2019,第三产业