name,lng,lat,value
浦东新区,121.55045460683195,31.227348292436346,13207.03
黄浦区,121.49158559252436,31.23724715206362,2650
闵行区,121.38861193361008,31.118842580087428,2565
嘉定区,121.27259505835202,31.3801553396772,2488.4
静安区,121.45343177276851,31.233844930401652,2323.08
徐汇区,121.44339635276381,31.194556772822725,2176.73
杨浦区,121.53251993732523,31.265524144657057,2106.63
松江区,121.23447959624146,31.037135176464492,1637.11
宝山区,121.4965630135246,31.41027947347614,1578.48
青浦区,121.13055310467274,31.155454317980737,1194.01
奉贤区,121.48050373643107,30.923720110285377,1190.19
普陀区,121.40356934916508,31.254973368279597,1129.51
长宁区,121.43045437545099,31.226847968225428,1097.36
虹口区,121.51158645453457,31.269746698931357,1047.28
金山区,121.61738317819064,25.22192577305883,828.6
崇明区,121.40355686271847,31.62856998440405,381.83